institution,academic_year,programme,established,graduate,registered,enrolled,active
University of Patras,2020-2021,Διοίκησης Επιχειρήσεων ΤΕ (Πάτρα) (ΤΕΙ Δυτικής Ελλάδας),05/06/2013,162,3405,0,900
University of Patras,2020-2021,"Διοίκησης, Οικονομίας και Επικοινωνίας Πολιτιστικών και Τουριστικών Μονάδων ΤΕ (ΤΕΙ Δυτικής Ελλάδας)",05/06/2013,75,1699,0,593
University of Patras,2020-2021,Κοινωνικής Εργασίας ΤΕ (ΤΕΙ Δυτικής Ελλάδας),24/11/1983,7,344,0,146
University of Patras,2020-2021,Λογιστικής και Χρηματοοικονομικής ΤΕ (ΤΕΙ Δυτικής Ελλάδας),05/06/2013,143,1638,0,508
University of Patras,2020-2021,Λογοθεραπείας ΤΕ (ΤΕΙ Δυτικής Ελλάδας),24/11/1983,115,586,0,586
University of Patras,2020-2021,Νοσηλευτικής ΤΕ (ΤΕΙ Δυτικής Ελλάδας),24/11/1983,66,749,0,318
University of Patras,2020-2021,Οπτικής και Οπτομετρίας ΤΕ (ΤΕΙ Δυτικής Ελλάδας),19/10/2006,0,240,0,99
University of Patras,2020-2021,Τεχνολογίας Αλιείας και Υδατοκαλλιεργειών ΤΕ (ΤΕΙ Δυτικής Ελλάδας),05/06/2013,24,1002,0,352
University of Patras,2020-2021,Τεχνολόγων Γεωπόνων ΤΕ (ΤΕΙ Δυτικής Ελλάδας),05/06/2013,46,626,0,451
University of Patras,2020-2021,Τουριστικών Επιχειρήσεων ΤΕ (ΤΕΙ Δυτικής Ελλάδας),24/11/1983,9,722,0,248
University of Patras,2020-2021,Φυσικοθεραπείας ΤΕ (ΤΕΙ Δυτικής Ελλάδας),05/06/2013,39,616,0,434
University of Piraeus,2020-2021,Βιομηχανικής Διοίκησης και Τεχνολογίας,01/09/1991,81,1235,150,601
University of Piraeus,2020-2021,Διεθνών και Ευρωπαϊκών Σπουδών,01/09/2000,299,755,161,725
University of Piraeus,2020-2021,Ναυτιλιακών Σπουδών,01/09/1990,334,2151,290,1430
University of Piraeus,2020-2021,Οικονομικής Επιστήμης,01/09/1984,404,4517,371,1830
University of Piraeus,2020-2021,Οργάνωσης και Διοίκησης Επιχειρήσεων,01/09/1984,551,6716,413,1693
University of Piraeus,2020-2021,Πληροφορικής,01/09/1992,79,1838,254,1032
University of Piraeus,2020-2021,Στατιστικής και Ασφαλιστικής Επιστήμης,01/09/1984,244,2955,255,1252
University of Piraeus,2020-2021,Τουριστικών Σπουδών,01/09/2017,50,411,112,411
University of Piraeus,2020-2021,Χρηματοοικονομικής και Τραπεζικής Διοικητικής,01/09/1990,218,1409,191,914
University of Piraeus,2020-2021,Ψηφιακών Συστημάτων,06/09/1999,112,2037,181,959
University of Peloponnese,2020-2021,Γεωπονίας,07/05/2019,4,396,241,396
University of Peloponnese,2020-2021,Διοίκησης Επιχειρήσεων και Οργανισμών,07/05/2019,0,629,335,623
University of Peloponnese,2020-2021,Διοικητικής Επιστήμης και Τεχνολογίας,07/05/2019,0,250,180,250
University of Peloponnese,2020-2021,Επιστήμης Διατροφής και Διαιτολογίας,07/05/2019,0,233,152,233
University of Peloponnese,2020-2021,Επιστήμης και Τεχνολογίας Τροφίμων,07/05/2019,69,832,117,727
University of Peloponnese,2020-2021,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,07/05/2019,0,399,264,399
University of Peloponnese,2020-2021,Θεατρικών Σπουδών,05/05/2003,63,893,153,608
University of Peloponnese,2020-2021,"Ιστορίας, Αρχαιολογίας και Διαχείρισης Πολιτισμικών Αγαθών",05/05/2003,80,879,154,631
University of Peloponnese,2020-2021,Κοινωνικής και Εκπαιδευτικής Πολιτικής,05/05/2003,107,864,150,627
University of Peloponnese,2020-2021,Λογιστικής και Χρηματοοικονομικής,07/05/2019,23,437,260,383
University of Peloponnese,2020-2021,Λογοθεραπείας,07/05/2019,0,105,106,105
University of Peloponnese,2020-2021,Μηχανολόγων Μηχανικών,07/05/2019,0,246,172,246
University of Peloponnese,2020-2021,Νοσηλευτικής,04/10/2005,71,489,191,360
University of Peloponnese,2020-2021,Οικονομικών Επιστημών,05/05/2003,136,3109,363,1727
University of Peloponnese,2020-2021,Οργάνωσης και Διαχείρισης Αθλητισμού,05/05/2003,108,936,169,643
University of Peloponnese,2020-2021,Παραστατικών και Ψηφιακών Τεχνών,07/05/2019,0,230,125,230
University of Peloponnese,2020-2021,Πληροφορικής και Τηλεπικοινωνιών,28/05/2013,80,1237,244,626
University of Peloponnese,2020-2021,Πολιτικής Επιστήμης και Διεθνών Σχέσεων,05/05/2003,67,690,136,548
University of Peloponnese,2020-2021,Πολιτικών Μηχανικών,07/05/2019,2,222,138,222
University of Peloponnese,2020-2021,Φιλολογίας,05/05/2003,94,691,211,556
University of Peloponnese,2020-2021,Φυσικοθεραπείας,07/05/2019,0,122,108,122
University of Peloponnese,2020-2021,Ψηφιακών Συστημάτων,07/05/2019,0,254,263,254
University of Peloponnese,2020-2021,Διοίκησης Μονάδων Υγείας και Πρόνοιας ΤΕ (ΤΕΙ Πελοποννήσου),05/06/2013,38,990,0,448
University of Peloponnese,2020-2021,Ηλεκτρολόγων Μηχανικών ΤΕ (ΤΕΙ Δυτικής Ελλάδας),05/06/2013,57,1656,0,590
University of Peloponnese,2020-2021,Λογιστικής και Χρηματοοικονομικής ΤΕ (ΤΕΙ Πελοποννήσου),05/06/2013,49,730,0,464
University of Peloponnese,2020-2021,Λογοθεραπείας ΤΕ (ΤΕΙ Πελοποννήσου),12/03/2009,0,170,0,143
University of Peloponnese,2020-2021,Μηχανικών Πληροφορικής ΤΕ (ΤΕΙ Δυτικής Ελλάδας),05/06/2013,89,1324,0,594
University of Peloponnese,2020-2021,Μηχανικών Πληροφορικής ΤΕ (ΤΕΙ Πελοποννήσου),05/06/2013,48,936,0,369
University of Peloponnese,2020-2021,Μηχανολόγων Μηχανικών ΤΕ (ΤΕΙ Δυτικής Ελλάδας),05/06/2013,104,1269,0,574
University of Peloponnese,2020-2021,Πολιτικών Μηχανικών ΤΕ (ΤΕΙ Δυτικής Ελλάδας),05/06/2013,45,888,0,388
University of Peloponnese,2020-2021,Τεχνολογίας Τροφίμων ΤΕ (ΤΕΙ Πελοποννήσου),09/02/2009,0,0,0,0
University of Peloponnese,2020-2021,Τεχνολόγων Γεωπόνων ΤΕ (ΤΕΙ Πελοποννήσου),05/06/2013,39,539,0,539
University of Peloponnese,2020-2021,Τοπικής Αυτοδιοίκησης ΤΕ (ΤΕΙ Πελοποννήσου),30/04/2014,33,1058,0,500
Panteion University of Social and Political Sciences,2020-2021,Δημόσιας Διοίκησης,07/11/1963,223,3812,343,1677
Panteion University of Social and Political Sciences,2020-2021,Διεθνών και Ευρωπαϊκών Σπουδών,23/06/1997,215,2449,208,959
Panteion University of Social and Political Sciences,2020-2021,"Επικοινωνίας, Μέσων και Πολιτισμού",16/06/1989,183,1415,220,930
Panteion University of Social and Political Sciences,2020-2021,Κοινωνικής Ανθρωπολογίας,04/03/2004,212,1743,201,997
Panteion University of Social and Political Sciences,2020-2021,Κοινωνικής Πολιτικής,04/03/2004,153,1361,204,818
Panteion University of Social and Political Sciences,2020-2021,Κοινωνιολογίας,30/11/1983,231,3323,291,1408
Panteion University of Social and Political Sciences,2020-2021,Οικονομικής και Περιφερειακής Ανάπτυξης,16/06/1989,214,2894,283,1158
Panteion University of Social and Political Sciences,2020-2021,Πολιτικής Επιστήμης και Ιστορίας,23/06/1997,169,2510,243,981
Panteion University of Social and Political Sciences,2020-2021,Ψυχολογίας,16/06/1989,201,2027,239,1049
Technical University of Crete,2020-2021,Αρχιτεκτόνων Μηχανικών,22/07/2004,76,1018,123,869
Technical University of Crete,2020-2021,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,01/03/1983,89,1583,164,1142
Technical University of Crete,2020-2021,Μηχανικών Ορυκτών Πόρων,01/03/1983,43,1037,115,689
Technical University of Crete,2020-2021,Μηχανικών Παραγωγής και Διοίκησης,01/03/1983,100,1647,177,1186
Technical University of Crete,2020-2021,Χημικών Μηχανικών και Μηχανικών Περιβάλλοντος (πρώην Μηχανικών Περιβάλλοντος),22/06/1995,51,1005,133,807
Hellenic Army Academy,2020-2021,Στρατιωτικών Επιστημών,21/12/1828,230,776,199,776
Hellenic Air Force Academy,2020-2021,Αεροπορικών Επιστημών,07/10/2003,59,302,81,302
Hellenic Naval Academy,2020-2021,Ναυτικών Επιστημών,07/10/2003,43,137,45,137
Harokopio University,2020-2021,Γεωγραφίας,06/09/1999,67,936,108,469
Harokopio University,2020-2021,Επιστήμης Διαιτολογίας - Διατροφής,12/06/1992,47,739,98,540
Harokopio University,2020-2021,Οικονομίας και Βιώσιμης Ανάπτυξης (πρώην Οικιακής Οικονομίας και Οικολογίας,12/06/1992,57,627,103,431
Harokopio University,2020-2021,Πληροφορικής και Τηλεματικής,07/07/2006,79,912,152,700
